dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,1,neural_network,Architecture,"('face', 'base')",0.7267477203647417,"[0.6936170212765957, 0.7015197568389058, 0.6939209726443769, 0.7267477203647417, 0.6966565349544073, 0.7024316109422493, 0.7297872340425532, 0.7051671732522796, 0.7139817629179331, 0.7249240121580547]"
heloc,2,neural_network,Architecture,"('rbr', 'e2e')",0.7343465045592705,"[0.6890577507598784, 0.7343465045592705, 0.7331306990881459, 0.7212765957446808, 0.7179331306990882, 0.6890577507598784, 0.7337386018237082, 0.7300911854103344, 0.7173252279635258, 0.6832826747720365]"
heloc,2,neural_network,Architecture,"('face', 'base')",0.7179331306990882,"[0.7300911854103344, 0.6832826747720365, 0.6890577507598784, 0.7331306990881459, 0.7337386018237082, 0.7343465045592705, 0.7179331306990882, 0.6890577507598784, 0.7212765957446808, 0.7173252279635258]"
heloc,0,neural_network,Weights,"('roar', 'e2e')",0.7347310847766636,"[0.7283500455788514, 0.718930416286843, 0.726223032512914, 0.7019143117593437, 0.7408082649650563, 0.7283500455788514, 0.7286539045882711, 0.7125493770890307, 0.7022181707687633, 0.726223032512914]"
heloc,0,neural_network,Weights,"('dice', 'base')",0.718930416286843,"[0.6642357945913097, 0.6800364630811303, 0.7292616226071102, 0.6870252202977818, 0.7265268915223336, 0.7107262230325129, 0.7292616226071102, 0.7089030689759951, 0.7070799149194774, 0.7082953509571559]"
heloc,1,neural_network,Weights,"('roar', 'e2e')",0.7231003039513678,"[0.6963525835866261, 0.713677811550152, 0.6872340425531915, 0.7045592705167173, 0.7054711246200608, 0.7288753799392097, 0.6656534954407295, 0.7139817629179331, 0.7112462006079028, 0.7042553191489361]"
heloc,1,neural_network,Weights,"('dice', 'base')",0.7231003039513678,"[0.6860182370820669, 0.6914893617021277, 0.7121580547112462, 0.7045592705167173, 0.7085106382978723, 0.7121580547112462, 0.7100303951367781, 0.7173252279635258, 0.7161094224924012, 0.6963525835866261]"
heloc,2,neural_network,Weights,"('roar', 'e2e')",0.71580547112462,"[0.727355623100304, 0.6987841945288754, 0.7221884498480243, 0.7030395136778116, 0.7227963525835867, 0.6735562310030395, 0.7048632218844985, 0.7264437689969605, 0.727355623100304, 0.7306990881458967]"
heloc,2,neural_network,Weights,"('dice', 'base')",0.7231003039513678,"[0.6869300911854104, 0.6443768996960486, 0.713677811550152, 0.6966565349544073, 0.7030395136778116, 0.7179331306990882, 0.6732522796352584, 0.7048632218844985, 0.6951367781155016, 0.7130699088145896]"
heloc,0,neural_network,Bootstrap,"('roar', 'e2e')",0.7301731996353692,"[0.7216651473716196, 0.736858097842601, 0.7289577635976907, 0.7374658158614403, 0.7158918261926466, 0.7128532360984503, 0.7134609541172896, 0.7395928289273777, 0.7301731996353692, 0.7301731996353692]"
